COMM_CODE,CLASS,RE_UNIT_PRICE,has_attraction,commu_center,commu_center_per_person,has_hospital,has_library,has_phs_clinic,schools_per_person,has_social_dev_ctr,MALE,FEMALE,English,Eng_not_spk_oft_home,Eng_ratio,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,crime_per_person,disorder_per_person
SOC,Residential,2103.428209,0,1,0.000254777,0,1,0,0.000254777,0,"1,692.00","1,532.00",3610,315,0.919745223,3925,Arabic,45,0.01,Spanish,40,0.01,Persian (Farsi),35,0.01,0.053757962,0.102675159
SHG,Residential,1445.302413,0,1,0.000732601,0,0,0,0.001465201,0,"4,591.00","3,965.00",1120,245,0.820512821,1365,"Tagalog (Pilipino, Filipino)",90,0.06,Mandarin,30,0.02,Kurdish,25,0.02,0.051282051,0.156776557
SPR,Residential,1215.534724,0,1,0.000235018,0,0,1,0.000470035,0,"6,963.00","6,828.00",3485,770,0.819036428,4255,Korean,180,0.04,Arabic,85,0.02,Spanish,50,0.01,0.027967098,0.054994125
WND,Residential,975.8311922,0,1,0.000245399,0,0,0,0.000490798,0,"2,525.00","2,409.00",3315,760,0.813496933,4075,"Tagalog (Pilipino, Filipino)",155,0.04,Spanish,80,0.02,Korean,60,0.01,0.049325153,0.096687117
WHL,Residential,1902.582043,0,1,0.000162206,0,0,0,0.000162206,0,"4,214.00","4,299.00",5740,425,0.931062449,6165,Mandarin,80,0.01,Spanish,75,0.01,Cantonese,35,0.01,0.032765612,0.051905921
RUT,Residential,859.2159019,0,1,0.000445434,0,0,0,0.000890869,0,"1,780.00","1,669.00",2025,220,0.902004454,2245,Polish,40,0.02,Oromo,40,0.02,Urdu,35,0.02,0.024498886,0.053006682
STA,Residential,1641.944496,0,1,0.000740741,1,0,0,0.002222222,0,"4,486.00","4,042.00",1230,120,0.911111111,1350,Persian (Farsi),30,0.02,Spanish,20,0.01,Cantonese,15,0.01,0.064444444,0.164444444
SOW,Residential,781.6843004,0,1,0.000171086,0,1,0,0.000855432,0,"2,992.00","2,960.00",5025,820,0.859709153,5845,"Tagalog (Pilipino, Filipino)",275,0.04,Spanish,75,0.01,Arabic,50,0.01,0.042429427,0.113088109
SCE,Residential,1012.739706,0,1,0.000123762,0,0,0,0.00049505,0,"1,131.00","1,232.00",7170,910,0.887376238,8080,Mandarin,160,0.02,Cantonese,140,0.02,Urdu,105,0.01,0.01039604,0.012623762
TUS,Residential,1256.220418,0,1,5.29521E-05,0,0,0,0.00026476,0,"3,056.00","2,895.00",16460,2425,0.87159121,18885,Mandarin,375,0.02,Spanish,310,0.02,Korean,230,0.01,0.006142441,0.016785809
VAR,Residential,1005.202365,0,1,8.14332E-05,0,0,0,0.000570033,0,"3,312.00","3,282.00",10405,1875,0.847312704,12280,Mandarin,435,0.03,Cantonese,225,0.02,Persian (Farsi),190,0.01,0.0247557,0.032247557
